Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
30594,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10356546193,56,674.1428571,250.3235714,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,65,2,1,A,stage1
30595,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10356925901,104,722.5073077000001,276.0011538,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,65,2,1,A,stage1
30596,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357130056,80,843.0675,322.1975,829,333,19,16,x1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,4,3,A,stage1
30597,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357214177,80,840.505,327.4495,829,333,19,16,x1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,4,3,A,stage1
30598,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357422218,80,861.6010000000001,296.456,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,4,A,stage1
30599,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357510320,64,745.613125,299.53,740,297,86,16,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
30600,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357574393,60,742.4726667,298.1046667,740,297,86,16,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
30601,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357702297,124,750.666129,299.1248387,740,297,86,16,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
30602,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10357810163,104,744.3280768999999,301.6876923,740,297,86,16,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
30603,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10358014055,176,781.4184091,325.70636360000003,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,4,1,A,stage1
30604,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10358394044,196,728.5914286000001,326.32775510000005,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,4,1,A,stage1
30605,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10358918080,80,1092.089,309.4585,1097,297,4,16,",",1,class->block->constructor->parameter_list,65,3,12,A,stage1
30606,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359118039,116,773.2448276,370.4641379,734,370,65,15,this.y1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,5,1,A,stage1
30607,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359182024,60,765.1633333,375.0033333,734,370,65,15,this.y1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,5,1,A,stage1
30608,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359406090,160,817.9345,380.80275,809,370,10,15,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,65,5,2,A,stage1
30609,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359406090,160,817.9345,380.80275,829,370,18,15,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
30610,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359565806,156,833.6582051,384.5687179,829,370,18,15,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
30611,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359693692,72,835.1127778,369.6794444,829,370,18,15,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
30612,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359757657,60,835.4413333,399.2853333,829,407,18,14,x2,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,6,3,A,stage1
30613,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359865708,104,844.0173077,377.3619231,829,370,18,15,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
30614,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10359937799,68,846.3605882000002,376.2482353,829,370,18,15,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
30615,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10360377910,108,843.0559258999999,403.4922222,829,407,18,14,x2,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,6,3,A,stage1
30616,5,84,rectangle_java2.jpg,rectangle_java2.jpg,10360617939,120,764.5373333,517.6276667,740,515,28,15,int,3,class->block->function->type->name,65,9,2,A,stage1
