Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
7432,2,216,vehicle_java2.jpg,vehicle_java2.jpg,407277524,80,788.052,283.8655,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7433,2,216,vehicle_java2.jpg,vehicle_java2.jpg,407373935,92,791.4604347999999,281.6521739,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7434,2,216,vehicle_java2.jpg,vehicle_java2.jpg,407618423,212,743.3179245,281.5930189,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7435,2,216,vehicle_java2.jpg,vehicle_java2.jpg,407890439,76,726.1305262999999,258.7257895,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7436,2,216,vehicle_java2.jpg,vehicle_java2.jpg,408018491,68,744.2876471,259.2670588,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7437,2,216,vehicle_java2.jpg,vehicle_java2.jpg,408286419,184,798.391087,274.39086960000003,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7438,2,216,vehicle_java2.jpg,vehicle_java2.jpg,408898191,92,747.8926087,256.8891304,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7439,2,216,vehicle_java2.jpg,vehicle_java2.jpg,409226351,64,835.073125,221.84125,838,216,6,16,",",1,class->block->decl_stmt,55,3,3,B,stage1
7440,2,216,vehicle_java2.jpg,vehicle_java2.jpg,409862285,56,823.4785714,217.2171429,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,55,3,2,B,stage1
7441,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410022255,108,879.1925926000001,261.8637037,875,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,55,4,4,B,stage1
7442,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410098220,72,880.1044444,266.3577778,875,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,55,4,4,B,stage1
7443,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410238094,80,802.825,260.982,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7444,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410338020,64,809.588125,286.1975,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7445,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410470055,80,802.1585,269.9865,778,268,69,20,Vehicle,7,class->block->constructor->name,55,4,2,B,stage1
7446,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410702265,56,747.2028571000001,188.3685714,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,55,2,1,B,stage1
7447,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410762283,56,740.3764286,204.4678571,712,216,29,16,int,3,class->block->decl_stmt->decl->type->name,55,3,1,B,stage1
7448,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410762283,56,740.3764286,204.4678571,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,55,3,2,B,stage1
7449,2,216,vehicle_java2.jpg,vehicle_java2.jpg,410878257,68,788.1735294,227.8794118,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,55,3,2,B,stage1
7450,2,216,vehicle_java2.jpg,vehicle_java2.jpg,411370114,132,906.0824242,286.05303030000005,875,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,55,4,4,B,stage1
7451,2,216,vehicle_java2.jpg,vehicle_java2.jpg,411446113,72,903.3177778,282.6461111,875,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,55,4,4,B,stage1
7452,2,216,vehicle_java2.jpg,vehicle_java2.jpg,411538125,88,909.9836364,287.9554545,875,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,55,4,4,B,stage1
7453,2,216,vehicle_java2.jpg,vehicle_java2.jpg,411914205,68,743.3888235000001,285.2111765,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7454,2,216,vehicle_java2.jpg,vehicle_java2.jpg,412010178,92,737.5321739,273.0643478,711,268,59,20,public,6,class->block->constructor->specifier,55,4,1,B,stage1
7455,2,216,vehicle_java2.jpg,vehicle_java2.jpg,412622039,96,945.9008332999998,278.0891667,941,268,11,20,p,1,class->block->constructor->specifier,55,4,5,B,stage1
7456,2,216,vehicle_java2.jpg,vehicle_java2.jpg,412933864,68,814.6247059,383.5758824,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,55,7,1,B,stage1
7457,2,216,vehicle_java2.jpg,vehicle_java2.jpg,413365845,100,900.1044,320.7488,906,306,11,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,55,5,2,B,stage1
7458,2,216,vehicle_java2.jpg,vehicle_java2.jpg,414113885,64,829.416875,318.201875,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,55,5,1,B,stage1
7459,2,216,vehicle_java2.jpg,vehicle_java2.jpg,414757953,80,747.8665,512.8555,711,506,59,16,public,6,class->block->function->type->specifier,55,10,1,B,stage1
7460,2,216,vehicle_java2.jpg,vehicle_java2.jpg,414845990,84,739.1271429,507.3285714,711,506,59,16,public,6,class->block->function->type->specifier,55,10,1,B,stage1
7461,2,216,vehicle_java2.jpg,vehicle_java2.jpg,415249787,100,861.5324,376.0152,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,55,7,1,B,stage1
7462,2,216,vehicle_java2.jpg,vehicle_java2.jpg,415649865,92,934.7486957,278.6226087,941,268,11,20,p,1,class->block->constructor->specifier,55,4,5,B,stage1
7463,2,216,vehicle_java2.jpg,vehicle_java2.jpg,416237789,88,781.1504545,301.4359091,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,55,5,1,B,stage1
7464,2,216,vehicle_java2.jpg,vehicle_java2.jpg,416453797,56,942.0521429,383.3828571,925,379,20,16,tp,2,class->block->constructor->block->block_content->expr_stmt->expr->name,55,7,3,B,stage1
